"acidez_fija","acidez_volatil","acido_citrico","azucares_residuales","cloruros","dioxido_azufre_libre","dioxido_azufre_total","densidad","pH","sulfatos","alcohol","calidad"
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5.59610231357727
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5.32903817570484
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5.14323904106686
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,5.62325635437638
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6.816391469118
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,4.63984424771172
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,7.31239979580995
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5.91956637571111
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,4.85857978453971
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,4.38414745981593
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,4.57375606178042
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6.15413022549392
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,4.85198487292258
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,4.79147444036136
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,6.42902885964099
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,4.97298336511465
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,4.52905731832575
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,3.99923483804712
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,4.77186408782734
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5.55139796543646
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,4.65479182243496
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6.36477859333502
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,5.0292703750265
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,4.96666282068528
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5.31164432236608
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4.18069201730003
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5.06340571648937
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,4.61557639501677
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,4.49017739237985
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,5.38552272563705
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5.07058795826008
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,3.43151523148912
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,4.7056655337796
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,4.84634468468105
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,6.10631720313932
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,4.60883005898272
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6.14123194337091
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5.04677650973823
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,5.42288601952192
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,4.95721514832584
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5.86673051505401
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5.27090243184753
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5.02473975319576
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,5.74650190059623
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,3.76805166707569
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5.6788023280485
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,3.12361595744511
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6.4439685065264
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,6.14546214153049
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,4.13366410341692
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5.42107060122483
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,5.84268150635852
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,5.05671350451271
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,5.09119940773095
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,5.03907829585524
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,4.68145608669782
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,4.12294664900246
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5.4127500637855
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,6.2600653643154
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,4.22778171437889
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6.47264330848511
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5.46142534460055
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5.19932154737007
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,4.3949740350338
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,4.92832843602161
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,5.83176279889785
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5.33779371993229
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,5.7765367463377
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6.58618403201137
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,5.77525148533979
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6.6316268793476
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,5.37049379600036
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,4.24390685314513
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,7.94462396096544
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,4.74988544710374
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5.17893655492443
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5.38194180442031
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,4.70973162457475
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5.31011722658817
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5.22137871643105
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,6.87077169541498
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5.03917582011519
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,4.97955964775692
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,6.27707113940971
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,4.5551983422363
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,5.3424022397552
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6.02267303950265
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5.18628844966588
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5.26191408734611
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,4.72498080037334
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,4.36200431961729
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5.75791110565369
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,4.79020976722787
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,4.48069228240798
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,5.85823225863534
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,4.88169446339087
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6.66595217382818
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5.05084237531832
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5.45243227111071
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,4.70042478969664
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6.12866718574896
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,5.8051884531055
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6.05675011690414
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,3.46278198521347
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,4.21351908000322
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,6.19832803084878
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5.36042529420345
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,4.24923718302503
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,4.63330044999175
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,4.28871194924161
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,6.31928620933023
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6.78744778586011
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,4.84091296598219
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4.32591643553925
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,5.75139603124868
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,4.71425186323065
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,4.52683829728985
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,4.64322963952429
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5.99054448040201
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,3.96758312494874
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6.07154714185655
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5.14621245775946
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4.7394855270912
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,5.69036170143313
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,5.40449570976478
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,7.00541815944191
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,4.73530206985683
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,4.56616041803608
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,4.25823612867002
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,5.22917056660932
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,4.65561591242121
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5.37079149029992
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5.66590888335783
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5.42455301230135
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,4.78180562174285
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5.03584996243076
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,5.57724212179196
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,4.56966910305559
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5.53079029938615
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,4.39064445283787
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,6.17317637929548
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,4.94580824362049
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5.12872329597753
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,5.55688337715626
6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,4.65536678614204
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,4.20979032061685
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,4.89024476697636
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5.25138944295468
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5.19458260649683
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,5.53107810776715
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,6.5268268174876
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,3.69868076899428
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7.89763640190781
8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,4.31761782760055
6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,4.89256904337188
7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,6.14141709300736
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,5.93941506880271
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,6.18409557770716
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,6.60113833883556
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5.29127598734293
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,4.77463827699814
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,6.66287418187013
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,5.79364965952292
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6.05429798828353
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6.9591052626875
8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,4.94686093271667
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6.64847969769091
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5.37845246939034
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,4.93181606269632
8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,4.08025879826564
7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,4.68732960946849
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,4.70607772811692
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6.02829265965692
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5.78011920660009
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,6.37584738429866
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6.92854863539026
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,3.92010942140263
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,4.94608356266542
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,5.76673208155695
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5.05352433384398
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6.50700780244046
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5.57751678109056
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7.41058565764988
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,5.16283539012032
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6.50978582738001
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,4.73206567014367
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6.10488162009675
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6.04473070630424
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6.2569000589823
7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6.01480498969568
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,4.9995149414486
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6.44189757886407
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5.23161594100981
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,5.84060902483307
7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6.07088670662801
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7.08042318722108
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7.1326116811366
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6.98450769958649
7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,4.86856977263991
8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5.10083923033079
7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6.70103032384146
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6.63250861402615
10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6.68715786622821
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,5.65351919936427
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,6.2014896381757
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5.04002052255811
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,7.12011110682412
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,4.18945838838157
9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5.01259015181254
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5.74994874258153
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,4.57085468766632
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,6.54838661906935
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,4.43687677783586
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,3.36849203239676
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,4.73770428009176
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5.19870750377539
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,3.79147370124757
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7.12718826002337
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4.74200502784994
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,9.22254441094426
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6.78070559532035
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6.45406485827758
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,4.9639617605314
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,5.63909597519593
10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,4.78877212605043
8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5.42211434165414
7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,4.93659719959774
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,5.2448108231639
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,7.01066142485647
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6.54683477507758
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8.14245816349461
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7.73086516619549
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,5.19673542765902
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7.39649217867388
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,4.68625257421195
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7.41024731311043
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,4.96350682720396
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5.37977642781887
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6.80131056903564
7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6.00437405419014
